,,,Matemática e física,"Lógica, algoritmos, teoria da comp,  estruras de dados.",Linguagens e paradigmas.,PAA,Configurar plataformas para softwares e serviços.,Arquiteturas de computadores,Segurança de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhecimento em sistemas de automação ,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe,
,ECOI07,SISTEMAS EMBARCADOS E DE TEMPO REAL,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI21,REDES DE COMPUTADORES,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI24,COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DIGITAL DE IMAGENS,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI26,COMPILADORES,,,,,,,,,,,,,,,,,,,,,,,,10
,EPRI30,PESQUISA OPERACIONAL,,,,,,,,,,,,,,,,,,,,,,,,10
9o,EAMI30,CIÊNCIAS DO AMBIENTE,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI20,GESTÃO DE PROJETOS,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI22,INTELIGÊNCIA ARTIFICIAL,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI23,SISTEMAS PARALELOS E DISTRIBUIDOS,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI25,INTERFACE HOMEM-COMPUTADOR,,,,,,,,,,,,,,,,,,,,,,,,10
,EPRI02,ADMINISTRAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,10
,EPRI04,INTRODUÇÃO À ECONOMIA,,,,,,,,,,,,,,,,,,,,,,,,10
,HUMI04,CIDADANIA E RESPONSABILIDADE SOCIAL,,,,,,,,,,,,,,,,,,,,,,,,10
